ip,bytes_sent,bytes_received,packets_sent,packets_received,unique_partners,unique_ports,duration,avg_interarrival,unique_partners_list,cluster
192.168.100.13,1898000,19843913,6621,8805,18,199,88.88622117042542,0.0057624778716645324,"['162.159.200.1', '185.125.190.57', '10.244.0.95', '194.177.210.54', '192.168.100.13', '34.204.64.57', '10.96.0.1', '185.125.190.58', '104.16.99.215', '44.217.54.224', '195.251.124.69', '195.251.124.68', '23.220.75.245', '185.125.190.56', '38.108.68.158', '91.189.91.157', '193.239.214.226', '83.212.108.245']",6
127.0.0.1,230121058,230171569,22276,22183,13,495,88.83049297332764,0.001998076678512925,"['127.0.0.5', '127.0.0.15', '127.0.0.11', '127.0.0.1', '127.0.0.8', '127.0.0.13', '127.0.0.20', '127.0.0.200', '127.0.0.4', '127.0.0.53', '127.0.0.10', '127.0.0.9', '127.0.0.12']",3
10.244.0.71,70925,61420,421,448,8,51,88.76464295387268,0.10226341354132798,"['10.244.0.78', '10.244.0.95', '10.244.0.1', '10.244.0.96', '10.96.0.1', '195.251.124.69', '10.244.0.92', '195.251.124.68']",2
195.251.124.68,4857,6813,24,74,3,1,88.18728590011597,0.9091472773207832,"['10.244.0.71', '192.168.100.13', '10.244.0.68']",0
195.251.124.69,20696,15072,108,162,3,1,88.65388798713684,0.32956835682950497,"['10.244.0.71', '192.168.100.13', '10.244.0.68']",0
10.244.0.68,52326,58568,345,426,8,26,88.64292287826538,0.11512067906268231,"['10.244.0.78', '10.244.0.95', '10.244.0.1', '10.244.0.96', '10.96.0.1', '195.251.124.69', '10.244.0.92', '195.251.124.68']",2
10.244.0.1,120272,109542,1270,1161,10,120,88.69381380081177,0.03649951185218591,"['10.244.0.78', '10.244.0.71', '10.244.0.95', '10.244.0.76', '10.244.0.69', '10.244.0.92', '10.244.0.72', '10.244.0.74', '10.244.0.77', '10.244.0.68']",2
10.244.0.69,15504,17146,174,188,1,1,87.4200210571289,0.24216072314994158,['10.244.0.1'],0
10.244.0.77,30078,19082,368,200,5,2,88.07271099090576,0.1553310599486874,"['10.244.0.78', '10.244.0.95', '10.97.25.20', '10.244.0.1', '10.111.213.21']",0
10.97.25.20,5780,12728,85,170,1,1,88.07271099090576,0.3467429566571093,['10.244.0.77'],0
10.244.0.78,38054,38652,441,446,6,8,88.25761985778809,0.09961356643091206,"['10.96.0.10', '10.244.0.71', '10.244.0.1', '10.244.0.77', '10.244.0.73', '10.244.0.68']",0
10.244.0.74,19504,18480,224,208,2,2,83.35566687583923,0.19340061920148313,"['10.244.0.1', '10.244.0.73']",0
10.244.0.73,65206,25598,264,316,4,1,88.2218599319458,0.15236936084964733,"['10.244.0.74', '10.244.0.78', '10.244.0.96', '10.244.0.72']",0
185.125.190.56,184,184,2,2,1,1,64.62030982971191,21.540103276570637,['192.168.100.13'],1
44.217.54.224,248,384,4,6,1,1,11.62097692489624,1.2912196583218045,['192.168.100.13'],4
10.244.0.72,11596,12624,122,138,2,2,83.01498007774353,0.32052115860132635,"['10.244.0.1', '10.244.0.73']",0
10.244.0.92,83300,69596,674,352,5,94,84.71803498268127,0.08265174144651832,"['10.96.0.10', '10.244.0.71', '10.109.136.133', '10.244.0.1', '10.244.0.68']",2
10.96.0.10,38791,46856,186,378,4,1,84.72269606590271,0.1504843624616389,"['10.244.0.78', '10.244.0.96', '10.244.0.92', '10.244.0.95']",0
10.244.0.76,7488,7736,76,86,1,1,79.99384689331055,0.49685619188391644,['10.244.0.1'],0
10.109.136.133,3328,2432,32,32,1,1,83.64879894256592,1.3277587133740623,['10.244.0.92'],0
127.0.0.53,19734,8766,79,79,1,1,82.00077486038208,0.5222979290470197,['127.0.0.1'],0
38.108.68.158,18301577,120262,4248,2044,1,1,75.31905889511108,0.011972509759197439,['192.168.100.13'],0
185.125.190.58,184,184,2,2,1,1,65.07391595840454,21.69130531946818,['192.168.100.13'],1
91.189.91.157,184,184,2,2,1,1,66.0360209941864,22.012006998062134,['192.168.100.13'],1
10.96.0.1,1199077,74996,472,494,5,2,82.83564615249634,0.08584004782642107,"['10.244.0.71', '10.244.0.95', '192.168.100.13', '10.96.0.1', '10.244.0.68']",0
10.244.0.95,79674,1453218,696,672,7,26,82.03099799156189,0.06000804534861879,"['10.96.0.10', '10.244.0.71', '192.168.100.13', '10.244.0.1', '10.96.0.1', '10.244.0.77', '10.244.0.68']",2
162.159.200.1,92,184,1,2,1,1,64.05885291099548,32.02942645549774,['192.168.100.13'],1
194.177.210.54,184,184,2,2,1,1,64.36054396629333,21.45351465543111,['192.168.100.13'],1
34.204.64.57,124,192,2,3,1,1,0.25168704986572266,0.06292176246643066,['192.168.100.13'],4
185.125.190.57,184,184,2,2,1,1,64.49646615982056,21.498822053273518,['192.168.100.13'],1
127.0.0.3,868,902,14,14,1,1,57.75613880157471,2.1391162519101745,['127.0.0.6'],5
127.0.0.6,902,868,14,14,1,1,57.75613880157471,2.1391162519101745,['127.0.0.3'],5
127.0.0.2,3088,3120,26,26,1,0,65.6058840751648,1.2863898838267607,['127.0.0.8'],5
127.0.0.8,3176,3164,27,27,2,1,65.6058840751648,1.237846869342732,"['127.0.0.2', '127.0.0.1']",5
127.0.0.200,106601,92897,509,568,1,1,67.10807609558105,0.06236810046057719,['127.0.0.1'],5
127.0.0.4,6023,8845,56,65,3,2,65.79647207260132,0.5483039339383443,"['127.0.0.1', '127.0.0.9', '127.0.0.7']",5
127.0.0.7,1092,1636,16,16,1,1,61.674440145492554,1.9894980692094373,['127.0.0.4'],5
127.0.0.9,3144,3208,27,27,2,1,64.9755311012268,1.2259534170042794,"['127.0.0.1', '127.0.0.4']",5
127.0.0.10,95400,58137,367,379,1,1,65.6198570728302,0.0880803450642016,['127.0.0.1'],5
127.0.0.11,1843,2454,17,17,1,1,65.33272409439087,1.9797795180118445,['127.0.0.1'],5
83.212.108.245,92,184,1,2,1,1,64.89354109764099,32.446770548820496,['192.168.100.13'],1
127.0.0.13,2621,5997,19,24,1,1,64.75245499610901,1.5417251189549763,['127.0.0.1'],5
127.0.0.12,6502,6814,44,41,1,1,64.67861318588257,0.7699834903081259,['127.0.0.1'],5
104.16.99.215,248,398,4,6,1,1,4.580818176269531,0.5089797973632812,['192.168.100.13'],4
193.239.214.226,184,184,2,2,1,1,64.93854403495789,21.646181344985962,['192.168.100.13'],1
127.0.0.5,4358,7348,43,52,1,1,54.78939485549927,0.5828659027180774,['127.0.0.1'],5
10.111.213.21,0,756,0,7,1,0,45.78264594078064,7.630440990130107,['10.244.0.77'],5
127.0.0.20,3622,4070,32,32,1,1,22.934746026992798,0.3640435877300444,['127.0.0.1'],4
127.0.0.15,1158,1395,12,14,1,1,14.135178089141846,0.5654071235656738,['127.0.0.1'],4
23.220.75.245,124,439,2,3,1,1,0.44673705101013184,0.11168426275253296,['192.168.100.13'],4
10.244.0.96,11408,61098,134,170,4,12,0.09992504119873047,0.0003297856145172623,"['10.96.0.10', '10.244.0.71', '10.244.0.73', '10.244.0.68']",4
